," 作者:Zhang, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 93 (在纳入 h-Index 的 769 文献中，有 93 篇已被至少引用 93 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,5,1,3,5,4,7,21,25,55,102,235,466,690,875,1220,1472,1828,2080,2432,2766,3157,3212,3669,4135,4588,4964,1604,0,39627
2004,Two-Dimensional PCA: A New Approach to Appearance-Based Face Representation and Recognition,"Yang J., Zhang D., Frangi A.F., Yang J.-Y.",1628828,IEEE Transactions on Pattern Analysis and Machine Intelligence,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61,88,126,144,180,212,200,203,212,237,185,209,210,190,184,62,0,2710
2011,FSIM: A feature similarity index for image quality assessment,"Zhang L., Zhang L., Mou X., Zhang D.",10577149,IEEE Transactions on Image Processing,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,63,75,139,216,265,323,410,396,130,0,2029
2010,A completed modeling of local binary pattern operator for texture classification,"Guo Z., Zhang L., Zhang D.",10577149,IEEE Transactions on Image Processing,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,57,90,129,138,171,189,210,220,84,0,1323
