," 作者:Baraniuk, Richard G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,h-index = 80 (在纳入 h-Index 的 450 文献中，有 80 篇已被至少引用 80 次。),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<1970,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,>2020,总计
出版年份,文献标题,作者,ISSN,期刊标题,卷,期,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27,45,50,66,62,83,110,257,310,442,402,589,625,738,934,1339,1706,1969,2314,2676,2782,2821,2779,2774,2791,2725,716,0,32159
2007,Compressive sensing,Baraniuk R.G.,10535888,IEEE Signal Processing Magazine,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,100,183,250,296,316,381,378,377,333,359,312,86,0,3404
2008,"Single-pixel imaging via compressive sampling: Building simpler, smaller, and less-expensive digital cameras","Duarte M.F., Davenport M.A., Takbar D., Laska J.N., Sun T., Kelly K.F., Baraniuk R.G.",10535888,IEEE Signal Processing Magazine,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,47,98,105,142,197,187,198,209,216,250,250,62,0,1972
2005,The dual-tree complex wavelet transform,"Selesnick I.W., Baraniuk R.G., Kingsbury N.G.",10535888,IEEE Signal Processing Magazine,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,66,95,107,145,112,144,156,172,146,178,136,144,164,26,0,1808
2008,A simple proof of the restricted isometry property for random matrices,"Baraniuk R., Davenport M., DeVore R., Wakin M.",1764276,Constructive Approximation,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,79,93,139,146,151,167,156,153,135,128,32,0,1427
1998,Wavelet-based statistical signal processing using hidden Markov models,"Crouse M.S., Nowak R.D., Baraniuk R.G.",1053587X,IEEE Transactions on Signal Processing,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,14,20,41,50,74,66,102,81,88,89,105,92,71,67,75,61,42,49,43,37,29,10,0,1311
2010,Model-based compressive sensing,"Baraniuk R.G., Cevher V., Duarte M.F., Hegde C.",189448,IEEE Transactions on Information Theory,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,88,102,123,117,137,121,128,121,94,17,0,1075
2007,Compressive radar imaging,"Baraniuk R., Steeghs P.",10975659,IEEE National Radar Conference - Proceedings,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,32,56,63,105,105,81,77,69,65,54,58,8,0,781
2010,Beyond Nyquist: Efficient sampling of sparse bandlimited signals,"Tropp J.A., Laska J.N., Duarte M.F., Romberg J.K., Baraniuk R.G.",189448,IEEE Transactions on Information Theory,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,58,76,82,82,95,68,84,85,67,18,0,746
